class,precision,recall,f1-score,support
glioma,0.7818181818181819,0.9555555555555556,0.86,45.0
meningioma,0.875,0.6222222222222222,0.7272727272727273,45.0
pituitary,0.88,0.9777777777777777,0.9263157894736842,45.0
notumor,0.9827586206896551,0.95,0.9661016949152542,60.0
